year,month,day,hour
2023,5,4,10
2023,5,5,13
2023,5,6,16
2023,5,7,16
2023,5,8,11
2023,5,9,16
2023,5,10,16
2023,5,11,14
2023,5,12,12
2023,5,13,17
2023,5,14,12
2023,5,15,12
2023,5,16,14
2023,5,17,10
2023,5,18,10
2023,5,19,14
2023,5,20,12
2023,5,21,10
2023,5,22,16
2023,5,23,14
2023,5,4,16
2023,5,5,12
2023,5,6,14
2023,5,7,17
2023,5,8,11
2023,5,9,15
2023,5,10,14
2023,5,11,15
2023,5,12,10
2023,5,13,14
2023,5,14,13
2023,5,15,16
2023,5,16,14
2023,5,17,12
2023,5,18,13
2023,5,19,10
2023,5,20,13
2023,5,21,14
2023,5,22,13
2023,5,23,17
2023,5,4,16
2023,5,5,14
2023,5,6,14
2023,5,7,17
2023,5,8,16
2023,5,9,14
2023,5,10,13
2023,5,11,15
2023,5,12,17
2023,5,13,11
2023,5,14,10
2023,5,15,13
2023,5,16,16
2023,5,17,12
2023,5,18,15
2023,5,19,10
2023,5,20,16
2023,5,21,17
2023,5,22,11
2023,5,23,16
2023,5,4,12
2023,5,5,16
2023,5,6,15
2023,5,7,14
2023,5,8,14
2023,5,9,14
2023,5,10,17
2023,5,11,17
2023,5,12,10
2023,5,13,10
2023,5,14,12
2023,5,15,17
2023,5,16,15
2023,5,17,16
2023,5,18,10
2023,5,19,13
2023,5,20,13
2023,5,21,10
2023,5,22,16
2023,5,23,16
